BAHASA TUNJUNG,TURUNAN KATA,BAHASA INDONESIA,BAHASA INGGRIS,JENIS KATA,KALIMAT BAHASA TUNJUNG,KALIMAT BAHASA INDONESIA,KALIMAT BAHASA INGGRIS ,DIALEK
,,,,,,,,(Rt: Rentenukng; As: Asa)
aap,,saya,I,pron,aap ewah dang koi,aku suka sama kamu,i like you,
abu,,debu,dust,n,wilan lagiq awat mee kee nyapuq abu dilamp dapeq,wilan sedang membantu ibu nya untuk menyapu debu di dalam  rumah,wilan is helping his mother sweep the dust inside the house,
adet,,adat,"custom, tradition",n,,,,
adet,baqadet,beradat,well-mannered,a,,,,
adi,,berapa,how much,pron,adi regaai ke,berapa harganya,how much does it cost,
adiq,,banyak; beberapa ,many; lot; much; some,a,adiq renant akui di dapeq eraq mamak,banyak barang saya di rumah  mereka mamak,I have many belongings at my mother’s house,
adiq,,banyak,"many, lot, much",adv,"Merita tetap membantu kedua ulutn pelegaq ke, padahal isaq adiq tugas sekolah","Merita tetap membantu kedua orang tuanya, padahal ia banyak tugas sekolah","Merita still helps her parents, even though she has a lot of schoolwork.",
adui,,jangan,"don/t , not to, prohibit to do something",adv,"aap akan nolong koi, tapi janyiq adui ganguq aap lagiq","aku akan menolongmu, tetapi janji jangan mengganggu aku lagi","I will help you, but (you have to) promise not to bother me again",
agi,,juga,"too, also",adv,ewah agi akui kumatn manuq joq,mau juga aku makan ayam ,i want to eat chicken too,
agi,agi aman,kalau,if,p,mungih ehau agi aman soo baq sagaq,sungguh senang kalau sudah punya istri,It's really nice to have a wife,
agit,,pengait (alat),hook,n,,,,
ahad,,minggu,Sunday,n,,,,
ahooq,,tanak,cook,v,,,,
ahuq,,abu,ash/ashes,n,kabatn tuhiq boteq busik ahuq,anak-anak jangan main abu,"Children, don’t play with ashes",
ahut,,sahutan,"reply, replication",n,,,,
ajaaq,,besar,big,a,aap ulih kerangoi dang nyelapm deq iyatn ajaq joq,saya bisa berenang dan menyelam di sungai besar itu,I can swim and dive in that big river,
ajukng,beajukng,berselingkuh,"cheat, have an affair",v,,,,
ajutn,,kawal,"guard, escort",v,,,,
akeq,,aduh,"ouch, alas, holy!",p,"akeq ahh, perah lebii akui tatui eteq moq motor joq kelamp noo","aduh, sakit betul aku jatuh dari atas motor tadi malam","Ouch, I was really hurt when I fell off the motorcycle last night",
akiq,,minta,ask,v,eraq akiq babant dirant dai lagant,mereka minta harta harus emas semua,They ask that all the wealth must be gold,
akiq,akiq maap,minta maaf,apologize,v,akuq akiq maap sion akuq sooq moq sen kepm,saya minta maaf karena telah mengambil uangmu,,
akui,,"aku, saya",I,pron,akui ewah meliq sepatu non garint kayoq,saya mau membeli sepatu untuk adek ku,I want to buy shoes for my little brother,
akuq,,"aku, saya",I,pron,akuq anye bneh ngancaar nee nyi.,,,
alaap,,kilat,lightning,n,,,,
alaau,,pagar,fence,n,kaheq ulih koi pecoq sion alaao joq mooq lebii,tidak bisa kamu lompat karena pagar itu tinggi sekali,You can’t jump because the fence is very high,
alah,,kalah,lose,a,"adui ewah tantaangk dang uhaq joq, koi pasti alah","jangan mau berdebat dengan dia, kamu pasti kalah","Don’t argue with him, you’ll definitely lose",
alatn,,pergi; jalan,"go away, walk away",v,"menyaa alatn saq joq nyii, bii lamaaq lebii","kemana dia jalan, lama sekali",Where did he walk away? He’s taking so long,
alatn,alatn anum,arus air; aliran air,water current; water flow,n,aman nan ucatn dahah alatn anum deras uas,"Kalau hari hujan lebat, arus air deras sekali","If it rains heavily, the water current is very strong",
alau,,rambut,hair,n,pore lebii amun alau koi joq moq,bagus sekali kalau rambut kamu panjang,It’s really nice if your hair is long,
alau,alau idok,rambut pendek,short hair,n,nyaa digai kaheq motoq alau ngaq model alau idok ah?,bagaimana? kita berdua tidak potong rambut buat model rambut pendek kah ?,What do you think? Should we both keep our hair long instead of getting a short haircut?,
alau,alau moq,rambut panjang,long hair,n,adi taont koi kaheq motoq alau sampai jaditn alau moq joq.?,berapa tahun kamu tidak potong rambut sampai jadi  panjang  begitu ?,How many years have you not cut your hair until it grew this long?,
alau,alau pernaq,rambut hitam,black hair,n,alau ke permaq melebi!,rambutnya hitam sekali!,His/Her hair is very black!,
